model,config,workload,input_mean,output_mean,total_latency_ms,avg_request_latency_ms,request_throughput_req_s,system_output_throughput_tok_s,token_output_speed_tok_s,avg_ttft_ms,avg_tpot_ms,ttft_ms_p50,ttft_ms_p90,ttft_ms_p95,ttft_ms_p99,tpot_ms_p50,tpot_ms_p90,tpot_ms_p95,tpot_ms_p99,gpu_util_peak_pct,gpu_memory_used_peak_mb,gpu_power_peak_w
Qwen2.5-7B,W4A16,long_in_short_out,2564,256,24576.14,2457.59,0.4069,113.77,143.07,510.2,6.99,506.64,555.58,555.58,555.58,6.987,7.02,7.02,7.02,100.0,22408.0,389.43
Qwen2.5-7B,W4A16,short_in_long_out,256,2564,190035.98,19003.56,0.0526,144.61,144.99,54.99,6.897,51.64,60.75,60.75,60.75,6.903,6.909,6.909,6.909,99.0,22408.0,389.89
Qwen2.5-7B,W4A16,long_in_long_out,2564,2564,200473.67,20047.33,0.0499,137.09,140.63,512.07,7.111,507.61,557.25,557.25,557.25,7.111,7.132,7.132,7.132,100.0,22408.0,389.46
Qwen2.5-7B,W4A16_INT8KV,short_in_short_out,256,256,19370.88,1937.07,0.5162,144.34,148.05,55.22,6.755,52.02,60.93,60.93,60.93,6.76,6.78,6.78,6.78,99.0,22408.0,389.56
Qwen2.5-7B,W4A16_INT8KV,long_in_short_out,2564,256,26167.28,2616.71,0.3822,106.85,131.86,503.85,7.584,498.74,549.95,549.95,549.95,7.584,7.603,7.603,7.603,100.0,22408.0,389.09
Qwen2.5-7B,W4A16_INT8KV,short_in_long_out,256,2564,199763.44,19976.3,0.0501,137.57,137.91,55.36,7.251,52.28,61.03,61.03,61.03,7.254,7.268,7.268,7.268,99.0,22408.0,389.47
Qwen2.5-7B,W4A16_INT8KV,long_in_long_out,2564,2564,222585.31,22258.49,0.0449,123.47,126.3,506.04,7.918,501.66,551.51,551.51,551.51,7.911,7.975,7.975,7.975,100.0,22408.0,390.04
Qwen2.5-7B,W4A16_AWQ,short_in_short_out,256,256,20398.58,2039.84,0.4902,137.07,140.58,57.83,7.114,54.66,63.43,63.43,63.43,7.097,7.223,7.223,7.223,99.0,22418.0,389.93
Qwen2.5-7B,W4A16_AWQ,long_in_short_out,2564,256,25890.94,2589.07,0.3862,107.99,135.19,528.13,7.397,521.6,579.25,579.25,579.25,7.388,7.504,7.504,7.504,100.0,22418.0,389.73
Qwen2.5-7B,W4A16_AWQ,short_in_long_out,256,2564,200871.26,20087.09,0.0498,136.81,137.16,57.52,7.291,54.43,63.47,63.47,63.47,7.3,7.324,7.324,7.324,99.0,22418.0,389.9
Qwen2.5-7B,W4A16_AWQ,long_in_long_out,2564,2564,212376.98,21237.66,0.0471,129.4,132.68,530.35,7.537,525.03,581.34,581.34,581.34,7.541,7.593,7.593,7.593,100.0,22418.0,389.62
